metabolite	subsystem
MAM00001	Transport reactions
MAM00001	Xenobiotics metabolism
MAM00001	Exchange/demand reactions
MAM00001	Transport reactions
MAM00002	Xenobiotics metabolism
MAM00002	Transport reactions
MAM00002	Exchange/demand reactions
MAM00002	Transport reactions
MAM00003	Pool reactions
MAM00003	Fatty acid activation (cytosolic)
MAM00003	Acyl-CoA hydrolysis
MAM00003	Transport reactions
MAM00003	Transport reactions
MAM00003	Pool reactions
MAM00003	Exchange/demand reactions
MAM00003	Transport reactions
MAM00003	Formation and hydrolysis of cholesterol esters
MAM00003	Formation and hydrolysis of cholesterol esters
MAM00003	Fatty acid activation (endoplasmic reticular)
MAM00003	Pool reactions
MAM00008	Pool reactions
MAM00008	Transport reactions
MAM00008	Fatty acid activation (cytosolic)
MAM00008	Acyl-CoA hydrolysis
MAM00008	Transport reactions
MAM00008	Exchange/demand reactions
MAM00008	Pool reactions
MAM00008	Formation and hydrolysis of cholesterol esters
MAM00008	Transport reactions
MAM00008	Fatty acid activation (endoplasmic reticular)
MAM00008	Formation and hydrolysis of cholesterol esters
MAM00008	Pool reactions
MAM00010	Pool reactions
MAM00010	Acyl-CoA hydrolysis
MAM00010	Transport reactions
MAM00010	Fatty acid activation (cytosolic)
MAM00010	Exchange/demand reactions
MAM00010	Transport reactions
MAM00010	Pool reactions
MAM00010	Transport reactions
MAM00010	Formation and hydrolysis of cholesterol esters
MAM00010	Formation and hydrolysis of cholesterol esters
MAM00010	Pool reactions
MAM00010	Fatty acid activation (endoplasmic reticular)
MAM00017	Transport reactions
MAM00017	Fatty acid activation (cytosolic)
MAM00017	Pool reactions
MAM00017	Acyl-CoA hydrolysis
MAM00017	Exchange/demand reactions
MAM00017	Pool reactions
MAM00017	Transport reactions
MAM00017	Formation and hydrolysis of cholesterol esters
MAM00017	Transport reactions
MAM00017	Fatty acid activation (endoplasmic reticular)
MAM00017	Pool reactions
MAM00017	Formation and hydrolysis of cholesterol esters
MAM00019	Transport reactions
MAM00019	Fatty acid activation (cytosolic)
MAM00019	Acyl-CoA hydrolysis
MAM00019	Pool reactions
MAM00019	Exchange/demand reactions
MAM00019	Pool reactions
MAM00019	Transport reactions
MAM00019	Formation and hydrolysis of cholesterol esters
MAM00019	Transport reactions
MAM00019	Pool reactions
MAM00019	Fatty acid activation (endoplasmic reticular)
MAM00019	Formation and hydrolysis of cholesterol esters
MAM00021	Transport reactions
MAM00021	Pool reactions
MAM00021	Fatty acid activation (cytosolic)
MAM00021	Acyl-CoA hydrolysis
MAM00021	Pool reactions
MAM00021	Transport reactions
MAM00021	Exchange/demand reactions
MAM00021	Formation and hydrolysis of cholesterol esters
MAM00021	Transport reactions
MAM00021	Pool reactions
MAM00021	Fatty acid activation (endoplasmic reticular)
MAM00021	Formation and hydrolysis of cholesterol esters
MAM00028	Transport reactions
MAM00028	Omega-3 fatty acid metabolism
MAM00028	Exchange/demand reactions
MAM00028	Transport reactions
MAM00028	Eicosanoid metabolism
MAM00032	Transport reactions
MAM00032	Xenobiotics metabolism
MAM00032	Exchange/demand reactions
MAM00032	Transport reactions
MAM00035	Vitamin D metabolism
MAM00035	Transport reactions
MAM00035	Exchange/demand reactions
MAM00035	Transport reactions
MAM00035	Transport reactions
MAM00035	Vitamin D metabolism
MAM00094	Pool reactions
MAM00094	Fatty acid activation (cytosolic)
MAM00094	Acyl-CoA hydrolysis
MAM00094	Transport reactions
MAM00094	Exchange/demand reactions
MAM00094	Pool reactions
MAM00094	Transport reactions
MAM00094	Formation and hydrolysis of cholesterol esters
MAM00094	Transport reactions
MAM00094	Fatty acid activation (endoplasmic reticular)
MAM00094	Formation and hydrolysis of cholesterol esters
MAM00094	Pool reactions
MAM00097	Exchange/demand reactions
MAM00097	Glutathione metabolism
MAM00104	Acyl-CoA hydrolysis
MAM00104	Fatty acid activation (cytosolic)
MAM00104	Pool reactions
MAM00104	Transport reactions
MAM00104	Fatty acid oxidation
MAM00104	Transport reactions
MAM00104	Exchange/demand reactions
MAM00104	Pool reactions
MAM00104	Transport reactions
MAM00104	Formation and hydrolysis of cholesterol esters
MAM00104	Fatty acid activation (endoplasmic reticular)
MAM00104	Pool reactions
MAM00104	Formation and hydrolysis of cholesterol esters
MAM00105	Carnitine shuttle (endoplasmic reticular)
MAM00105	Carnitine shuttle (cytosolic)
MAM00105	Carnitine shuttle (mitochondrial)
MAM00105	Fatty acid oxidation
MAM00105	Transport reactions
MAM00105	Exchange/demand reactions
MAM00105	Transport reactions
MAM00105	Carnitine shuttle (mitochondrial)
MAM00105	Fatty acid oxidation
MAM00105	Carnitine shuttle (endoplasmic reticular)
MAM00111	Transport reactions
MAM00111	Pool reactions
MAM00111	Fatty acid activation (cytosolic)
MAM00111	Acyl-CoA hydrolysis
MAM00111	Transport reactions
MAM00111	Pool reactions
MAM00111	Exchange/demand reactions
MAM00111	Formation and hydrolysis of cholesterol esters
MAM00111	Transport reactions
MAM00111	Formation and hydrolysis of cholesterol esters
MAM00111	Pool reactions
MAM00111	Fatty acid activation (endoplasmic reticular)
MAM00114	Fatty acid activation (cytosolic)
MAM00114	Pool reactions
MAM00114	Transport reactions
MAM00114	Acyl-CoA hydrolysis
MAM00114	Transport reactions
MAM00114	Pool reactions
MAM00114	Exchange/demand reactions
MAM00114	Transport reactions
MAM00114	Formation and hydrolysis of cholesterol esters
MAM00114	Formation and hydrolysis of cholesterol esters
MAM00114	Fatty acid activation (endoplasmic reticular)
MAM00114	Pool reactions
MAM00115	Fatty acid activation (cytosolic)
MAM00115	Transport reactions
MAM00115	Pool reactions
MAM00115	Acyl-CoA hydrolysis
MAM00115	Pool reactions
MAM00115	Transport reactions
MAM00115	Exchange/demand reactions
MAM00115	Formation and hydrolysis of cholesterol esters
MAM00115	Transport reactions
MAM00115	Pool reactions
MAM00115	Formation and hydrolysis of cholesterol esters
MAM00117	Acyl-CoA hydrolysis
MAM00117	Transport reactions
MAM00117	Fatty acid activation (cytosolic)
MAM00117	Pool reactions
MAM00117	Exchange/demand reactions
MAM00117	Pool reactions
MAM00117	Transport reactions
MAM00117	Transport reactions
MAM00117	Formation and hydrolysis of cholesterol esters
MAM00117	Pool reactions
MAM00117	Formation and hydrolysis of cholesterol esters
MAM00117	Fatty acid activation (endoplasmic reticular)
MAM00126	Carnitine shuttle (mitochondrial)
MAM00126	Fatty acid oxidation
MAM00126	Carnitine shuttle (endoplasmic reticular)
MAM00126	Transport reactions
MAM00126	Carnitine shuttle (cytosolic)
MAM00126	Transport reactions
MAM00126	Exchange/demand reactions
MAM00126	Carnitine shuttle (mitochondrial)
MAM00126	Fatty acid oxidation
MAM00126	Carnitine shuttle (endoplasmic reticular)
MAM00128	Transport reactions
MAM00128	Acyl-CoA hydrolysis
MAM00128	Fatty acid oxidation
MAM00128	Fatty acid activation (cytosolic)
MAM00128	Pool reactions
MAM00128	Exchange/demand reactions
MAM00128	Transport reactions
MAM00128	Pool reactions
MAM00128	Transport reactions
MAM00128	Formation and hydrolysis of cholesterol esters
MAM00128	Fatty acid activation (endoplasmic reticular)
MAM00128	Formation and hydrolysis of cholesterol esters
MAM00128	Pool reactions
MAM00132	Transport reactions
MAM00132	Acyl-CoA hydrolysis
MAM00132	Pool reactions
MAM00132	Fatty acid activation (cytosolic)
MAM00132	Transport reactions
MAM00132	Exchange/demand reactions
MAM00132	Pool reactions
MAM00132	Formation and hydrolysis of cholesterol esters
MAM00132	Transport reactions
MAM00132	Formation and hydrolysis of cholesterol esters
MAM00132	Fatty acid activation (endoplasmic reticular)
MAM00132	Pool reactions
MAM00135	Acyl-CoA hydrolysis
MAM00135	Fatty acid activation (cytosolic)
MAM00135	Transport reactions
MAM00135	Pool reactions
MAM00135	Pool reactions
MAM00135	Exchange/demand reactions
MAM00135	Transport reactions
MAM00135	Transport reactions
MAM00135	Formation and hydrolysis of cholesterol esters
MAM00135	Formation and hydrolysis of cholesterol esters
MAM00135	Fatty acid activation (endoplasmic reticular)
MAM00135	Pool reactions
MAM00157	Transport reactions
MAM00157	Transport reactions
MAM00157	Exchange/demand reactions
MAM00157	Butanoate metabolism
MAM00157	Transport reactions
MAM00167	Cholesterol biosynthesis 1 (Bloch pathway)
MAM00167	Cholesterol metabolism
MAM00167	Transport reactions
MAM00167	Transport reactions
MAM00167	Exchange/demand reactions
MAM00167	Cholesterol metabolism
MAM00167	Transport reactions
MAM00167	Cholesterol metabolism
MAM00169	Alanine, aspartate and glutamate metabolism
MAM00169	Transport reactions
MAM00169	Transport reactions
MAM00169	Exchange/demand reactions
