rowname	logFC	logCPM	LR	PValue	p.adj	FILTER.FC	FILTER.P	gene_name	gene_biotype
ENSG00000000003	-0.0029287939594327527	4.512968841917383	4.115178795451868e-4	0.9838153008767695	0.9998744870734909	0	0	TSPAN6	protein_coding
ENSG00000000419	0.0458165514587106	5.4126303495505725	0.1526589359624353	0.696007224477688	0.9998744870734909	0	0	DPM1	protein_coding
ENSG00000000457	-0.024173796701789912	2.7542677587813227	0.017317066868714537	0.8953051729903322	0.9998744870734909	0	0	SCYL3	protein_coding
ENSG00000000460	-0.04554707734397356	4.945936449821475	0.11282204225006609	0.7369538742141573	0.9998744870734909	0	0	C1orf112	protein_coding
ENSG00000000971	0.3527276831085306	0.9528069681490781	0.7961768459161718	0.3722388935585654	0.9970725049704297	0	0	CFH	protein_coding
ENSG00000001036	-0.029566212168763577	5.424665767763004	0.05755396818125291	0.8104046168935478	0.9998744870734909	0	0	FUCA2	protein_coding
ENSG00000001084	-0.02516124803571963	5.318753178974626	0.04289200058256881	0.8359287631524857	0.9998744870734909	0	0	GCLC	protein_coding
ENSG00000001167	0.05021903973248075	5.839396032509059	0.17791366251708496	0.6731723707178459	0.9998744870734909	0	0	NFYA	protein_coding
ENSG00000001460	-0.2525738402031827	2.755644704075034	1.9170202790602753	0.1661855154119687	0.803263082658329	0	0	STPG1	protein_coding
ENSG00000001461	-0.17666822012705324	4.977784661005058	1.8526985965229557	0.17346985754328972	0.8113410385308547	0	0	NIPAL3	protein_coding
ENSG00000001497	0.07396419809068344	5.885027974901224	0.44084084826160463	0.5067168927040686	0.9998744870734909	0	0	LAS1L	protein_coding
ENSG00000001561	-0.2831878197287733	3.3231377792160055	2.4968564872855303	0.11407378949333001	0.6921932433408668	0	0	ENPP4	protein_coding
ENSG00000001629	-0.051938192779655085	6.579145938780251	0.1736730154453454	0.6768679017580974	0.9998744870734909	0	0	ANKIB1	protein_coding
ENSG00000001630	0.9104430253709703	1.8801632502271444	5.8867403351581515	0.015255312916969466	0.2305775004648299	1	0	CYP51A1	protein_coding
ENSG00000001631	-0.031726549690928176	4.867971914464644	0.0477110887391774	0.8270951206946657	0.9998744870734909	0	0	KRIT1	protein_coding
ENSG00000002016	0.014874105272091646	3.8664368528578525	0.008915874991599182	0.9247724223305802	0.9998744870734909	0	0	RAD52	protein_coding
ENSG00000002079	0.4663170649466729	3.7401118559259343	8.010958951662722	0.004649510996427843	0.10260202720662678	0	0	MYH16	pseudogene
ENSG00000002330	0.3030385724048546	3.480335631926118	1.5924286509641945	0.2069794902711031	0.8634449980498553	0	0	BAD	protein_coding
ENSG00000002549	0.07163378533890936	5.50812375098266	0.38771755998818236	0.5335015955446559	0.9998744870734909	0	0	LAP3	protein_coding
ENSG00000002586	0.07611083682650652	3.6873552111451664	0.15633808678202854	0.6925505766667911	0.9998744870734909	0	0	CD99	protein_coding
ENSG00000002746	-0.16004898351503627	2.2566230305996835	0.5852846181064741	0.4442483424184619	0.9998744870734909	0	0	HECW1	protein_coding
ENSG00000002822	0.12836345718884407	5.878365601169557	0.8314246639525891	0.3618608958445416	0.9943186988601317	0	0	MAD1L1	protein_coding
ENSG00000002834	0.08308732526480567	8.032000821654416	0.24283946356030128	0.6221627844841283	0.9998744870734909	0	0	LASP1	protein_coding
ENSG00000002919	-0.12136391418538765	4.036899428979984	0.5899465511403967	0.4424397878036114	0.9998744870734909	0	0	SNX11	protein_coding
ENSG00000003056	0.08805458443005855	7.289651234079195	0.291774447522954	0.589085660154225	0.9998744870734909	0	0	M6PR	protein_coding
ENSG00000003096	-0.17604568019860972	2.4912582114476787	0.7134308564668999	0.39830719815546306	0.9998744870734909	0	0	KLHL13	protein_coding
ENSG00000003137	0.11166375190581122	2.9950327982105867	0.40653419368299315	0.5237338742368982	0.9998744870734909	0	0	CYP26B1	protein_coding
ENSG00000003393	0.19825884332950489	5.589748814318488	3.168754844181848	0.0750596501792126	0.5787138169478904	0	0	ALS2	protein_coding
ENSG00000003402	0.09388533863004025	4.373146205564075	0.3884877078969122	0.5330953996170561	0.9998744870734909	0	0	CFLAR	protein_coding
ENSG00000003436	0.022218636217903077	6.503427433650497	0.030774133996374076	0.8607452425713308	0.9998744870734909	0	0	TFPI	protein_coding
ENSG00000003509	-0.018763759392144946	4.67516266485344	0.017477152044286015	0.8948251676570337	0.9998744870734909	0	0	NDUFAF7	protein_coding
ENSG00000003756	-0.19380770906796224	5.686122235208257	2.8714244396551862	0.09016503507061266	0.6207220820487952	0	0	RBM5	protein_coding
ENSG00000003989	-0.10171910685214579	5.824084540852542	0.7859205122243367	0.37533653057673777	0.9970725049704297	0	0	SLC7A2	protein_coding
ENSG00000004059	0.0331636977570893	3.738202636680064	0.03891211923746596	0.8436228665199309	0.9998744870734909	0	0	ARF5	protein_coding
ENSG00000004142	0.009950388539287983	6.3261107917050206	0.006815764716797901	0.9342032807969439	0.9998744870734909	0	0	POLDIP2	protein_coding
ENSG00000004399	0.5268886972603054	3.376626089500148	8.909807979286192	0.0028364308919975813	0.07202042204220638	1	1	PLXND1	protein_coding
ENSG00000004455	0.02802292982118344	6.834463163872065	0.03401385640739818	0.8536773458479971	0.9998744870734909	0	0	AK2	protein_coding
ENSG00000004478	-0.059585818842329906	8.917883618685515	0.1255285248864766	0.7231140308564294	0.9998744870734909	0	0	FKBP4	protein_coding
ENSG00000004487	-0.12924474960343504	6.831324700890724	0.728703227212975	0.39330384620858516	0.9998744870734909	0	0	KDM1A	protein_coding
ENSG00000004534	-0.023527745683383023	5.772179525299205	0.03735136548764473	0.8467514248363618	0.9998744870734909	0	0	RBM6	protein_coding
ENSG00000004660	-0.22272468010936886	3.550403896835989	1.7268487106578174	0.1888138471454886	0.8357867193883377	0	0	CAMKK1	protein_coding
ENSG00000004700	0.20651217347521622	7.031595778024093	1.7244929712117312	0.18911572673942204	0.8357867193883377	0	0	RECQL	protein_coding
ENSG00000004766	-0.14549113323722104	4.511782264745566	1.0315632802091237	0.3097917807469611	0.9673191473674804	0	0	CCDC132	protein_coding
ENSG00000004779	-0.004127987912070846	5.1481698401018345	0.0010999464085301724	0.9735426578594841	0.9998744870734909	0	0	NDUFAB1	protein_coding
ENSG00000004864	0.020890675551338715	5.451057944505581	0.03123639008271084	0.8597140367078627	0.9998744870734909	0	0	SLC25A13	protein_coding
ENSG00000004866	0.02657112695844366	3.649123314779507	0.026641700899929788	0.8703429706064036	0.9998744870734909	0	0	ST7	protein_coding
ENSG00000004897	-0.11674733040121593	7.114164165014021	0.5382188476493184	0.4631718325123798	0.9998744870734909	0	0	CDC27	protein_coding
ENSG00000004961	-0.02304523269474554	3.6684959228343255	0.018493870671718593	0.8918274698175134	0.9998744870734909	0	0	HCCS	protein_coding
ENSG00000004975	-0.08024606080429911	4.145296335195429	0.22441201137211575	0.6356985558038997	0.9998744870734909	0	0	DVL2	protein_coding
ENSG00000005007	0.24088592429965777	5.111573886913466	2.652198731195938	0.1034067794688653	0.6638203456320099	0	0	UPF1	protein_coding
ENSG00000005022	0.026093213086404048	7.845854470514615	0.024132153507594012	0.8765491269530635	0.9998744870734909	0	0	SLC25A5	protein_coding
