Query;names_asics;Match;HMDB;PubChem;KEGG;SMILES;Comment;ChEBI;METLIN;selec_model;log2FC_dg
2-Deoxyadenosine;2-Deoxyadenosine;Deoxyadenosine;HMDB0000101;13730;C00559;C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O;1;17256;3382;additive;-1.03445399398765
L-Glutamine;L-Glutamine;L-Glutamine;HMDB0000641;5961;C00064;C(CC(=O)N)[C@@H](C(=O)O)N;1;18050;5614;additive;-1.46891206260568
L-Glutathione-reduced;L-Glutathione-reduced;Glutathione;HMDB0062697;124886;C00051;NA;0;57925;NA;additive;1.1626759954679
L-Phenylalanine;L-Phenylalanine;L-Phenylalanine;HMDB0000159;6140;C00079;C1=CC=C(C=C1)C[C@@H](C(=O)O)N;1;17295;28;additive;0.245301146943944
L-GlutamicAcid;L-GlutamicAcid;L-Glutamic acid;HMDB0000148;33032;C00025;C(CC(=O)O)[C@@H](C(=O)O)N;1;16015;5174;additive;-0.237716497420159
VanillicAcid;VanillicAcid;Vanillic acid;HMDB0000484;8468;C06672;COC1=C(C=CC(=C1)C(=O)O)O;1;30816;5471;additive;-2.43351028137415
Adenosine;Adenosine;Adenosine;HMDB0000050;60961;C00212;C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O;1;16335;86;only_stage;-0.715852136553418
Creatinine;Creatinine;Creatinine;HMDB0000562;588;C00791;CN1CC(=O)N=C1N;1;16737;8;only_stage;0.639375357110537
D-Fructose;D-Fructose;D-Fructose;HMDB0000660;439709;C02336;C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O;1;28645;135;only_stage;-2.63115338948702
D-Sorbitol;D-Sorbitol;Sorbitol;HMDB0000247;5780;C00794;C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O;1;17924;143;only_stage;-0.926100287358502
Ethanolamine;Ethanolamine;Ethanolamine;HMDB0000149;700;C00189;C(CO)N;1;16000;3207;only_stage;-0.362655958513451
Hypoxanthine;Hypoxanthine;Hypoxanthine;HMDB0000157;790;C00262;C1=NC2=C(N1)C(=O)N=CN2;1;17368;83;only_stage;0.690967018456526
IMP;IMP;Inosinic acid;HMDB0000175;8582;C00130;C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O;1;17202;5196;only_stage;-1.4124093631376
L-Aspartate;L-Aspartate;L-Aspartic acid;HMDB0000191;5960;C00049;C([C@@H](C(=O)O)N)C(=O)O;1;17053;5206;only_stage;-0.44154907059693
L-Leucine;L-Leucine;L-Leucine;HMDB0000687;6106;C00123;CC(C)C[C@@H](C(=O)O)N;1;15603;24;only_stage;0.210854139001566
L-Tyrosine;L-Tyrosine;L-Tyrosine;HMDB0000158;6057;C00082;C1=CC(=CC=C1C[C@@H](C(=O)O)N)O;1;17895;34;only_stage;0.943996149555847
Levoglucosan;Levoglucosan;Levoglucosan;HMDB0000640;2724705;NA;C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O;1;30997;5613;only_stage;0.511442596933774
Succinate;Succinate;Succinic acid;HMDB0000254;1110;C00042;C(CC(=O)O)C(=O)O;1;15741;114;only_stage;0.525241617241676
Taurine;Taurine;Taurine;HMDB0000251;1123;C00245;C(CS(=O)(=O)O)N;1;15891;31;only_stage;-0.0794975075608743
UDPG;UDPG;Uridine diphosphate glucose;HMDB0000286;53477679;C00029;C1=CN(C(=O)NC1=O)[C@@H]2[C@H]([C@H]([C@@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O;1;46229;5278;only_stage;-0.892729219600025
3-HydroxyphenylAceticAcid;3-HydroxyphenylAceticAcid;3-Hydroxyphenylacetic acid;HMDB0000440;12122;C05593;C1=CC(=CC(=C1)O)CC(=O)O;1;17445;5429;only_stage;-0.315673930126312
PyroglutamicAcid;PyroglutamicAcid;Pyroglutamic acid;HMDB0000267;7405;C01879;C1CC(=O)N[C@@H]1C(=O)O;1;18183;3251;only_stage;-0.51791981665895
3-Hydroxybutyrate;;;;;;;;;;;
CholineChloride;;;;;;;;;;;
