metabolites;fc_D110vsD90;fc_LWvsMS
Lactate;0.208432281526265;0.0789397431209341
Myo-Inositol;0.109194751070542;-0.204588739761495
L-Glycine;0.0440121486862357;-0.229912709401045
Taurine;-0.0794975075608743;-0.0800233742366313
L-Alanine;0.126760212058898;0.0720359847285958
Methanol;0.0915274655278425;-0.212217304067383
L-GlutamicAcid;-0.237716497420159;-0.185656330720901
D-Sorbitol;-0.926100287358502;0.0281906142054242
L-Glutamine;-1.46891206260568;0.613189138035434
L-Serine;0.00863089651267486;-0.0196575514219092
D-Fructose;-2.63115338948702;0.239279208762402
CholineChloride;-0.138484011252629;0.13116076613624
Creatine;-0.055894894109367;-0.102537177576523
Glycerophosphocholine;-0.0672274373108373;0.247934581521908
L-Valine;0.115514844364662;-0.0869265592496051
L-Leucine;0.210854139001566;0.103945990072392
AceticAcid;0.0800636648963099;-0.154974965414884
Phosphocholine;0.540468186784654;0.159291511046114
L-Glutathione-oxidized;-0.168844836317703;-0.218616856556362
L-Aspartate;-0.44154907059693;-0.0536343007156168
3-HydroxyphenylAceticAcid;-0.315673930126312;0.133842168855172
PyroglutamicAcid;-0.51791981665895;-0.0586614417072682
Ethanolamine;-0.362655958513451;0.0940952077837344
L-Carnitine;-0.0799774495471154;-0.0549080079531769
L-Proline;-0.0825173132152364;-0.0690400992337488
Adenosine;-0.715852136553418;-0.00569390247247582
L-Cystine;-0.0423874573617017;0.0313418880695802
ADP;0.154243993542818;-1.11563958115573
Succinate;0.525241617241676;0.198715322828978
Betaine;0.255064608760262;-0.0374647533610404
Citrate;0.0777387143932489;-0.488913136719066
L-Phenylalanine;0.245301146943944;0.276922358607937
L-Isoleucine;0.303259115934265;0.00499201726806514
UDPG;-0.892729219600025;0.276228418400499
L-Tyrosine;0.943996149555847;-0.271558600068746
S-Acetamidomethylcysteine;0.147544543242165;-0.0446624320302165
NAD;-0.417102906903734;-0.224309850946632
TMAO;0.360645398026464;0.190302112165566
Levoglucosan;0.511442596933774;-0.164687455142251
Creatinine;0.639375357110537;-0.0217946761066367
IMP;-1.4124093631376;-0.195677132699557
2-Deoxyadenosine;-1.03445399398765;1.19744739406538
VanillicAcid;-2.43351028137415;1.45244220539225
SaccaricAcid;0.110172587265533;-0.599082808457597
L-Glutathione-reduced;1.1626759954679;-0.885255757184091
Hypoxanthine;0.690967018456526;0.490474019193747
