metabolite	name	kegg	chebi
MAM00001	(-)-trans-carveol	C00964	CHEBI:15389
MAM00002	(+)-alpha-pinene	C09880	CHEBI:36740
MAM00003	(10Z)-heptadecenoic acid	nan	CHEBI:78990
MAM00004	(10Z)-heptadecenoyl-CoA	nan	nan
MAM00005	(11R)-HPETE	nan	CHEBI:34127
MAM00006	(11Z)-docosenoyl-CoA	nan	nan
MAM00007	(11Z)-eicosenoyl-CoA	nan	CHEBI:74069
MAM00008	(11Z,14Z)-eicosadienoic acid	C16525	CHEBI:77220
MAM00009	(11Z,14Z)-eicosadienoyl-CoA	C16180	CHEBI:76410
MAM00010	(11Z,14Z,17Z)-eicosatrienoic acid	C16522	CHEBI:53460
MAM00011	(11Z,14Z,17Z)-eicosatrienoylcarnitine	nan	nan
MAM00012	(11Z,14Z,17Z)-eicosatrienoyl-CoA	C16179	CHEBI:74328
MAM00013	(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate	C04654	CHEBI:15548
MAM00014	(13E)-tetranor-16-carboxy-LTE4	nan	CHEBI:74057
MAM00015	(13E)-tetranor-16-oxo-16-CoA-LTE4	nan	nan
MAM00016	(13Z)-docosenoyl-CoA	C16531	nan
MAM00017	(13Z)-eicosenoic acid	nan	CHEBI:134479
MAM00018	(13Z)-eicosenoyl-CoA	nan	CHEBI:76563
MAM00019	(13Z)-octadecenoic acid	nan	CHEBI:82618
MAM00020	(13Z)-octadecenoyl-CoA	nan	nan
MAM00021	(13Z,16Z)-docosadienoic acid	C16533	CHEBI:77806
MAM00022	(13Z,16Z)-docosadienoylcarnitine	nan	CHEBI:73120
MAM00023	(13Z,16Z)-docosadienoyl-CoA	C16645	nan
MAM00024	(15Z)-tetracosenoylcarnitine	nan	nan
MAM00025	(15Z)-tetracosenoyl-CoA	C16532	nan
MAM00026	(18E)-20-oxo-20-CoA-LTB4	nan	nan
MAM00027	(18E)-20-oxo-20-CoA-LTE4	nan	nan
MAM00028	(18R)-HEPE	nan	CHEBI:81563
MAM00029	(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid	nan	CHEBI:81563
MAM00030	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol	C19559	CHEBI:82558
MAM00031	(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	C14791	CHEBI:33995
MAM00032	(1R,2S)-naphthalene 1,2-oxide	C14786	CHEBI:33998
MAM00033	(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C14792	CHEBI:34000
MAM00034	(1S,2R)-naphthalene 1,2-oxide	C14787	CHEBI:34001
MAM00035	(24R)-24,25-dihydroxycalciol	C07712	CHEBI:28818
MAM00036	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	C05450	CHEBI:52050
MAM00037	(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	C05448	CHEBI:27403
MAM00038	(2E)-decenoyl-[ACP]	C05754	nan
MAM00039	(2E)-decenoyl-CoA	C05275	CHEBI:10723
MAM00040	(2E)-docosenoyl-CoA	nan	CHEBI:74692
MAM00041	(2E)-dodecenoyl-[ACP]	C05758	CHEBI:10725
MAM00042	(2E)-dodecenoyl-CoA	C03221	CHEBI:15471
MAM00043	(2E)-eicosenoyl-CoA	nan	CHEBI:74691
MAM00044	(2E)-heneicosenoyl-CoA	nan	nan
MAM00045	(2E)-heptadecenoyl-[ACP]	nan	nan
MAM00046	(2E)-heptadecenoyl-CoA	nan	CHEBI:77551
MAM00047	(2E)-heptenoyl-[ACP]	nan	nan
MAM00048	(2E)-heptenoyl-CoA	nan	CHEBI:166980
MAM00049	(2E)-hexacosenoyl-CoA	nan	CHEBI:74281
MAM00050	(2E)-hexadecenoyl-[ACP]	C05763	nan
MAM00051	(2E)-hexadecenoyl-CoA	C05272	CHEBI:28935
MAM00052	(2E)-hexenoyl-[ACP]	C05748	CHEBI:10727
MAM00053	(2E)-hexenoyl-CoA	C05271	CHEBI:28706
MAM00054	(2E)-nonadecenoyl-CoA	nan	nan
MAM00055	(2E)-nonenoyl-[ACP]	nan	nan
MAM00056	(2E)-nonenoyl-CoA	nan	CHEBI:76292
MAM00057	(2E)-octadecenoyl-CoA	C16218	CHEBI:50570
MAM00058	(2E)-octenoyl-[ACP]	C05751	nan
MAM00059	(2E)-octenoyl-CoA	C05276	CHEBI:27537
MAM00060	(2E)-pentadecenoyl-[ACP]	nan	nan
MAM00061	(2E)-pentadecenoyl-CoA	nan	CHEBI:77545
MAM00062	(2E)-pentenoyl-[ACP]	nan	nan
MAM00063	(2E)-pentenoyl-CoA	nan	CHEBI:86160
MAM00064	(2E)-tetracosenoyl-CoA	nan	CHEBI:74693
MAM00065	(2E)-tetradecenoyl-[ACP]	C05760	CHEBI:10735
MAM00066	(2E)-tetradecenoyl-CoA	C05273	CHEBI:27721
MAM00067	(2E)-tricosenoyl-CoA	nan	CHEBI:90119
MAM00068	(2E)-tridecenoyl-[ACP]	nan	nan
MAM00069	(2E)-tridecenoyl-CoA	nan	nan
MAM00070	(2E)-undecenoyl-[ACP]	nan	nan
MAM00071	(2E)-undecenoyl-CoA	nan	CHEBI:77548
MAM00072	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	nan	nan
MAM00073	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	nan	nan
MAM00074	(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	nan	nan
MAM00075	(2R)-pristanoyl-CoA	nan	CHEBI:20067
MAM00076	(2R,6R,10R)-trimethyl-hendecanoyl-CoA	nan	nan
MAM00077	(2R,6S,10S)-pristanate	nan	nan
MAM00078	(2S)-pristanoyl-CoA	nan	CHEBI:64039
MAM00079	(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA	nan	nan
MAM00080	(2S,6R,10R)-trimethyl-hendecanoyl-CoA	nan	nan
MAM00081	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	nan	nan
MAM00082	(3S)-3-hydroxydodec-cis-6-enoyl-CoA	nan	nan
MAM00083	(3S)-3-hydroxylinoleoyl-CoA	nan	nan
MAM00084	(3S)-citramalyl-CoA	C01011	CHEBI:36882
MAM00085	(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA	nan	nan
MAM00086	(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA	nan	nan
MAM00087	(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	nan	nan
MAM00088	(3Z)-dodecenoyl-CoA	C02944	CHEBI:27989
MAM00089	(3Z,7Z,10Z)-hexadecatrienoyl-CoA	nan	nan
MAM00090	(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA	nan	nan
MAM00091	(4Z,7Z,10Z)-hexadecatrienoyl-CoA	nan	nan
MAM00092	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	nan	nan
MAM00093	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	C16173	nan
MAM00094	(4Z,7Z,10Z,13Z,16Z)-DPA	nan	CHEBI:65136
MAM00095	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	C16169	CHEBI:65132
MAM00096	(5)ppPur-mRNA	C02100	nan
MAM00097	(5-L-glutamyl)-L-amino acid	C03740	CHEBI:50619
MAM00098	(5S,6S)-epoxy-(15R)-hydroxy-ETE	nan	nan
MAM00099	(5Z)-dodecenoyl-CoA	nan	nan
MAM00100	(5Z,8Z,11Z)-eicosatrienoylcarnitine	nan	nan
MAM00101	(5Z,8Z,11Z)-eicosatrienoyl-CoA	nan	nan
MAM00102	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	nan	nan
MAM00103	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	C16165	nan
MAM00104	(6Z,9Z)-octadecadienoic acid	nan	nan
MAM00105	(6Z,9Z)-octadecadienoylcarnitine	nan	nan
MAM00106	(6Z,9Z)-octadecadienoyl-CoA	nan	nan
MAM00107	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	nan	nan
MAM00108	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	C16163	CHEBI:63545
MAM00109	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine	nan	nan
MAM00110	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	C16172	CHEBI:63546
MAM00111	(6Z,9Z,12Z,15Z,18Z)-TPA	nan	nan
MAM00112	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine	nan	nan
MAM00113	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	C16168	nan
MAM00114	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	nan	nan
MAM00115	(7Z)-octadecenoic acid	nan	nan
MAM00116	(7Z)-octadecenoyl-CoA	nan	nan
MAM00117	(7Z)-tetradecenoic acid	nan	CHEBI:53206
MAM00118	(7Z)-tetradecenoyl-CoA	nan	nan
MAM00119	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	C16170	CHEBI:63544
MAM00120	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	nan	nan
MAM00121	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	C16166	CHEBI:63541
MAM00122	(8Z,11Z)-eicosadienoylcarnitine	nan	nan
MAM00123	(8Z,11Z)-eicosadienoyl-CoA	nan	nan
MAM00124	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine	nan	nan
MAM00125	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	C16164	nan
MAM00126	(9E)-octadecenoylcarnitine	nan	nan
MAM00127	(9E)-octadecenoyl-CoA	nan	nan
MAM00128	(9E)-tetradecenoic acid	nan	nan
MAM00129	(9E)-tetradecenoyl-CoA	nan	nan
MAM00130	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine	nan	nan
MAM00131	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	C16171	CHEBI:63548
MAM00132	(9Z,12Z,15Z,18Z)-TTA	nan	nan
MAM00133	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine	nan	nan
MAM00134	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	C16167	CHEBI:63543
MAM00135	(9Z,12Z,15Z,18Z,21Z)-TPA	nan	nan
