Metabolite;names_asics;Match;HMDB;PubChem;KEGG;SMILES;Comment;ChEBI;METLIN;;;;;;;;;;;;;;;;;
2-Deoxyadenosine;2-Deoxyadenosine;Deoxyadenosine;HMDB0000101;13730;C00559;C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O;1;17256;3382;;;;;;;;;;;;;;;;;
3-HydroxyphenylAcetic acid;3-HydroxyphenylAceticAcid;3-Hydroxyphenylacetic acid;HMDB0000440;12122;C05593;C1=CC(=CC(=C1)O)CC(=O)O;1;17445;5429;;;;;;;;;;;;;;;;;
Acetic acid;AceticAcid;Acetic acid;HMDB0000042;176;C00033;CC(=O)O;1;15366;3206;;;;;;;;;;;;;;;;;
Adenosine;Adenosine;Adenosine;HMDB0000050;60961;C00212;C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O;1;16335;86;;;;;;;;;;;;;;;;;
ADP;ADP;ADP;HMDB0001341;6022;C00008;C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O;1;16761;6175;;;;;;;;;;;;;;;;;
Betaine;Betaine;Betaine;HMDB0000043;247;C00719;C[N+](C)(C)CC(=O)[O-];1;17750;287;;;;;;;;;;;;;;;;;
CholineChloride;CholineChloride;Choline;HMDB0000097;305;C00114;C[N+](C)(C)CCO;1;15354;56;;;;;;;;;;;;;;;;;
Citrate;Citrate;Citric acid;HMDB0000094;311;C00158;C(C(=O)O)C(CC(=O)O)(C(=O)O)O;1;30769;124;;;;;;;;;;;;;;;;;
Creatine;Creatine;Creatine;HMDB0000064;586;C00300;CN(CC(=O)O)C(=N)N;1;16919;7;;;;;;;;;;;;;;;;;
Creatinine;Creatinine;Creatinine;HMDB0000562;588;C00791;CN1CC(=O)N=C1N;1;16737;8;;;;;;;;;;;;;;;;;
D-Fructose;D-Fructose;D-Fructose;HMDB0000660;439709;C02336;C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O;1;28645;135;;;;;;;;;;;;;;;;;
D-Sorbitol;D-Sorbitol;Sorbitol;HMDB0000247;5780;C00794;C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O;1;17924;143;;;;;;;;;;;;;;;;;
Ethanolamine;Ethanolamine;Ethanolamine;HMDB0000149;700;C00189;C(CO)N;1;16000;3207;;;;;;;;;;;;;;;;;
Glycerophosphocholine;Glycerophosphocholine;Glycerophosphocholine;HMDB0000086;71920;C00670;C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O;1;16870;370;;;;;;;;;;;;;;;;;
Hypoxanthine;Hypoxanthine;Hypoxanthine;HMDB0000157;790;C00262;C1=NC2=C(N1)C(=O)N=CN2;1;17368;83;;;;;;;;;;;;;;;;;
IMP;IMP;Inosinic acid;HMDB0000175;8582;C00130;C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O;1;17202;5196;;;;;;;;;;;;;;;;;
L-Alanine;L-Alanine;L-Alanine;HMDB0000161;5950;C00041;C[C@@H](C(=O)O)N;1;16977;NA;;;;;;;;;;;;;;;;;
L-Aspartate;L-Aspartate;L-Aspartic acid;HMDB0000191;5960;C00049;C([C@@H](C(=O)O)N)C(=O)O;1;17053;5206;;;;;;;;;;;;;;;;;
L-Carnitine;L-Carnitine;L-Carnitine;HMDB0000062;2724480;C00318;C[N+](C)(C)C[C@H](CC(=O)[O-])O;1;16347;52;;;;;;;;;;;;;;;;;
L-Cystine;L-Cystine;L-Cystine;HMDB0000192;67678;C00491;C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N;1;16283;5207;;;;;;;;;;;;;;;;;
L-Glutamic acid;L-GlutamicAcid;L-Glutamic acid;HMDB0000148;33032;C00025;C(CC(=O)O)[C@@H](C(=O)O)N;1;16015;5174;;;;;;;;;;;;;;;;;
L-Glutamine;L-Glutamine;L-Glutamine;HMDB0000641;5961;C00064;C(CC(=O)N)[C@@H](C(=O)O)N;1;18050;5614;;;;;;;;;;;;;;;;;
L-Glutathione-oxidized;L-Glutathione-oxidized;Oxidized glutathione;HMDB0003337;975;C00127;C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N;1;17858;6893;;;;;;;;;;;;;;;;;
L-Glutathione-reduced;L-Glutathione-reduced;Glutathione;HMDB0062697;124886;C00051;NA;0;57925;NA;;;;;;;;;;;;;;;;;
L-Glycine;L-Glycine;Glycine;HMDB0000123;750;C00037;NA;0;15428;20;;;;;;;;;;;;;;;;;
L-Isoleucine;L-Isoleucine;L-Isoleucine;HMDB0000172;6306;C00407;CC[C@H](C)[C@@H](C(=O)O)N;1;17191;5193;;;;;;;;;;;;;;;;;
L-Leucine;L-Leucine;L-Leucine;HMDB0000687;6106;C00123;CC(C)C[C@@H](C(=O)O)N;1;15603;24;;;;;;;;;;;;;;;;;
L-Phenylalanine;L-Phenylalanine;L-Phenylalanine;HMDB0000159;6140;C00079;C1=CC=C(C=C1)C[C@@H](C(=O)O)N;1;17295;28;;;;;;;;;;;;;;;;;
L-Proline;L-Proline;L-Proline;HMDB0000162;145742;C00148;C1C[C@H](NC1)C(=O)O;1;17203;29;;;;;;;;;;;;;;;;;
L-Serine;L-Serine;L-Serine;HMDB0000187;5951;C00065;C([C@@H](C(=O)O)N)O;1;17115;5203;;;;;;;;;;;;;;;;;
L-Tyrosine;L-Tyrosine;L-Tyrosine;HMDB0000158;6057;C00082;C1=CC(=CC=C1C[C@@H](C(=O)O)N)O;1;17895;34;;;;;;;;;;;;;;;;;
L-Valine;L-Valine;L-Valine;HMDB0000883;6287;C00183;CC(C)[C@@H](C(=O)O)N;1;16414;5842;;;;;;;;;;;;;;;;;
Lactate;Lactate;L-Lactic acid;HMDB0000190;61503;C00186;C[C@@H](C(=O)O)O;1;422;5205;;;;;;;;;;;;;;;;;
Levoglucosan;Levoglucosan;Levoglucosan;HMDB0000640;2724705;NA;C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O;1;30997;5613;;;;;;;;;;;;;;;;;
Methanol;Methanol;Methanol;HMDB0001875;887;C00132;CO;1;17790;4201;;;;;;;;;;;;;;;;;
Myo-Inositol;Myo-Inositol;myo-Inositol;HMDB0000211;NA;C00137;O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O;1;17268;5221;;;;;;;;;;;;;;;;;
NAD;NAD;NAD;HMDB0000902;5893;C00003;C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N;1;44215;5858;;;;;;;;;;;;;;;;;
Phosphocholine;Phosphocholine;Phosphorylcholine;HMDB0001565;8691;C00588;C[N+](C)(C)CCOP(=O)(O)O;1;18132;6326;;;;;;;;;;;;;;;;;
Pyroglutamic acid;PyroglutamicAcid;Pyroglutamic acid;HMDB0000267;7405;C01879;C1CC(=O)N[C@@H]1C(=O)O;1;18183;3251;;;;;;;;;;;;;;;;;
S-Acetamidomethylcysteine;S-Acetamidomethylcysteine;S-(Acetamidomethyl)-L-cysteine;NA;1590100;0;NA;0;NA;NA;;;;;;;;;;;;;;;;;
Saccaric acid;SaccaricAcid;Glucaric acid;HMDB0000663;33037;C00818;[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O;1;16002;5633;;;;;;;;;;;;;;;;;
Succinate;Succinate;Succinic acid;HMDB0000254;1110;C00042;C(CC(=O)O)C(=O)O;1;15741;114;;;;;;;;;;;;;;;;;
